,train,val,test
0,BONE_1_F51_1_1,BONE_2_F71_1_1,BONE_9_M72_1_1
1,BONE_1_F51_1_2,BONE_2_F71_1_2,BONE_9_M72_1_2
2,BONE_1_F51_2_1,BONE_2_F71_1_3,BONE_9_M72_1_3
3,BONE_1_F51_2_2,BONE_2_F71_1_4,BONE_9_M72_1_4
4,BONE_1_F51_2_3,BONE_2_F71_1_5,BONE_9_M72_2_1
5,BONE_1_F51_2_4,BONE_2_F71_1_6,BONE_9_M72_2_2
6,BONE_3_F56_1_1,BONE_2_F71_1_7,BONE_9_M72_2_3
7,BONE_3_F56_11_1,BONE_2_F71_2_1,BONE_9_M72_2_4
8,BONE_3_F56_11_2,BONE_2_F71_2_2,BONE_9_M72_4_1
9,BONE_3_F56_11_3,BONE_2_F71_2_3,BONE_9_M72_4_2
10,BONE_3_F56_1_2,BONE_2_F71_2_4,BONE_9_M72_5_1
11,BONE_3_F56_8_1,BONE_2_F71_2_5,BONE_9_M72_5_2
12,BONE_3_F56_8_2,BONE_2_F71_2_6,BONE_9_M72_5_3
13,BONE_3_F56_9_1,BONE_2_F71_2_7,BONE_9_M72_5_4
14,BONE_3_F56_9_2,BONE_2_F71_3_1,BONE_9_M72_6_1
15,BONE_4_M48_1_1,BONE_2_F71_3_2,BONE_9_M72_6_2
16,BONE_4_M48_1_2,BONE_2_F71_3_3,BONE_9_M72_7_1
17,BONE_4_M48_1_3,BONE_2_F71_3_4,BONE_9_M72_7_2
18,BONE_4_M48_2_1,BONE_2_F71_3_5,BONE_9_M72_7_3
19,BONE_4_M48_2_2,BONE_2_F71_3_6,
20,BONE_4_M48_2_3,BONE_5_M59_1_1,
21,BONE_4_M48_3_1,BONE_5_M59_1_2,
22,BONE_4_M48_3_2,BONE_5_M59_1_3,
23,BONE_4_M48_3_3,BONE_5_M59_1_4,
24,BONE_4_M48_4_1,BONE_5_M59_2_1,
25,BONE_4_M48_4_2,BONE_5_M59_2_2,
26,BONE_4_M48_4_3,BONE_5_M59_2_3,
27,BONE_4_M48_5_1,BONE_5_M59_2_4,
28,BONE_4_M48_5_2,BONE_5_M59_2_5,
29,BONE_4_M48_5_3,BONE_5_M59_3_1,
30,BONE_4_M48_6_1,BONE_5_M59_3_2,
31,BONE_4_M48_6_2,BONE_5_M59_3_3,
32,BONE_4_M48_6_3,BONE_5_M59_3_4,
33,BONE_4_M48_6_4,BONE_5_M59_3_5,
34,BONE_4_M48_6_5,BONE_5_M59_3_6,
35,BONE_4_M48_7_1,BONE_5_M59_4_1,
36,BONE_4_M48_7_2,BONE_5_M59_4_2,
37,BONE_4_M48_7_3,BONE_5_M59_4_3,
38,BONE_4_M48_8_1,BONE_5_M59_5_1,
39,BONE_4_M48_8_2,BONE_5_M59_5_2,
40,BONE_6_M63_1_1,BONE_5_M59_5_3,
41,BONE_6_M63_1_2,BONE_5_M59_6_1,
42,BONE_6_M63_1_3,BONE_5_M59_6_2,
43,BONE_6_M63_2_1,BONE_5_M59_6_3,
44,BONE_6_M63_2_2,BONE_5_M59_6_4,
45,BONE_6_M63_2_3,BONE_5_M59_6_5,
46,BONE_6_M63_3_1,BONE_5_M59_6_6,
47,BONE_6_M63_3_2,,
48,BONE_6_M63_3_3,,
49,BONE_6_M63_4_1,,
50,BONE_6_M63_4_2,,
51,BONE_6_M63_4_3,,
52,BONE_6_M63_5_1,,
53,BONE_6_M63_5_2,,
54,BONE_6_M63_6_1,,
55,BONE_6_M63_6_2,,
56,BONE_6_M63_6_3,,
57,BONE_6_M63_7_1,,
58,BONE_6_M63_7_2,,
59,BONE_6_M63_7_3,,
60,BONE_6_M63_8_1,,
61,BONE_6_M63_8_2,,
62,BONE_6_M63_8_3,,
63,BONE_7_F65_1_1,,
64,BONE_7_F65_1_2,,
65,BONE_7_F65_1_3,,
66,BONE_7_F65_2_1,,
67,BONE_7_F65_2_2,,
68,BONE_7_F65_2_3,,
69,BONE_7_F65_3_1,,
70,BONE_7_F65_3_2,,
71,BONE_7_F65_3_3,,
72,BONE_7_F65_4_1,,
73,BONE_7_F65_4_2,,
74,BONE_7_F65_4_3,,
75,BONE_7_F65_5_1,,
76,BONE_7_F65_5_2,,
77,BONE_7_F65_5_3,,
78,BONE_7_F65_6_1,,
79,BONE_7_F65_6_2,,
80,BONE_7_F65_6_3,,
81,BONE_7_F65_7_1,,
82,BONE_7_F65_7_2,,
83,BONE_7_F65_7_3,,
84,BONE_7_F65_8_1,,
85,BONE_7_F65_8_2,,
86,BONE_7_F65_8_3,,
87,BONE_8_F68_1_1,,
88,BONE_8_F68_1_2,,
89,BONE_8_F68_1_3,,
90,BONE_8_F68_2_1,,
91,BONE_8_F68_2_2,,
92,BONE_8_F68_2_3,,
93,BONE_8_F68_3_1,,
94,BONE_8_F68_3_2,,
95,BONE_8_F68_3_3,,
96,BONE_8_F68_4_1,,
97,BONE_8_F68_4_2,,
98,BONE_8_F68_4_3,,
99,BONE_8_F68_5_1,,
100,BONE_8_F68_5_2,,
101,BONE_8_F68_5_3,,
102,BONE_8_F68_6_1,,
103,BONE_8_F68_6_2,,
104,BONE_8_F68_6_3,,
105,BONE_8_F68_7_1,,
106,BONE_8_F68_7_2,,
107,BONE_8_F68_7_3,,
108,BONE_8_F68_8_1,,
109,BONE_8_F68_8_2,,
110,BONE_8_F68_8_3,,
111,BONE_11_M72_2_1,,
112,BONE_11_M72_2_2,,
113,BONE_11_M72_2_3,,
114,BONE_11_M72_3_1,,
115,BONE_11_M72_3_2,,
116,BONE_11_M72_3_3,,
117,BONE_11_M72_4_1,,
118,BONE_11_M72_4_2,,
119,BONE_11_M72_4_3,,
120,BONE_11_M72_5_1,,
121,BONE_11_M72_5_2,,
122,BONE_11_M72_5_3,,
123,BONE_11_M72_5_4,,
124,BONE_11_M72_6_1,,
125,BONE_11_M72_6_2,,
126,BONE_11_M72_6_3,,
127,BONE_11_M72_6_4,,
128,BONE_11_M72_6_5,,
129,BONE_11_M72_7_1,,
130,BONE_11_M72_7_2,,
131,BONE_11_M72_7_3,,
132,BONE_11_M72_8_1,,
133,BONE_11_M72_8_2,,
134,BONE_11_M72_8_3,,
135,BONE_12_F69_1_1,,
136,BONE_12_F69_1_2,,
137,BONE_12_F69_1_3,,
138,BONE_12_F69_2_1,,
139,BONE_12_F69_2_2,,
140,BONE_12_F69_2_3,,
141,BONE_12_F69_3_1,,
142,BONE_12_F69_3_2,,
143,BONE_12_F69_3_3,,
144,BONE_12_F69_4_1,,
145,BONE_12_F69_4_2,,
146,BONE_12_F69_4_3,,
147,BONE_12_F69_5_1,,
148,BONE_12_F69_5_2,,
149,BONE_12_F69_5_3,,
150,BONE_12_F69_6_1,,
151,BONE_12_F69_6_2,,
152,BONE_12_F69_6_3,,
153,BONE_12_F69_7_1,,
154,BONE_12_F69_7_2,,
155,BONE_12_F69_7_3,,
156,BONE_12_F69_8_1,,
157,BONE_12_F69_8_2,,
158,BONE_12_F69_8_3,,
159,BONE_13_M47_1_1,,
160,BONE_13_M47_1_2,,
161,BONE_13_M47_1_3,,
162,BONE_13_M47_2_1,,
163,BONE_13_M47_2_2,,
164,BONE_13_M47_2_3,,
165,BONE_13_M47_3_1,,
166,BONE_13_M47_3_2,,
167,BONE_13_M47_3_3,,
168,BONE_13_M47_4_1,,
169,BONE_13_M47_4_2,,
170,BONE_13_M47_4_3,,
171,BONE_13_M47_5_1,,
172,BONE_13_M47_5_2,,
173,BONE_13_M47_5_3,,
174,BONE_13_M47_6_1,,
175,BONE_13_M47_6_2,,
176,BONE_13_M47_6_3,,
177,BONE_13_M47_7_1,,
178,BONE_13_M47_7_2,,
179,BONE_13_M47_7_3,,
180,BONE_13_M47_8_1,,
181,BONE_13_M47_8_2,,
182,BONE_13_M47_8_3,,
183,BONE_15_M71_1_1,,
184,BONE_15_M71_1_2,,
185,BONE_15_M71_1_3,,
186,BONE_15_M71_2_1,,
187,BONE_15_M71_2_2,,
188,BONE_15_M71_2_3,,
189,BONE_15_M71_3_1,,
190,BONE_15_M71_3_2,,
191,BONE_15_M71_3_3,,
192,BONE_15_M71_4_1,,
193,BONE_15_M71_4_2,,
194,BONE_15_M71_4_3,,
195,BONE_15_M71_5_1,,
196,BONE_15_M71_5_2,,
197,BONE_15_M71_5_3,,
198,BONE_15_M71_6_1,,
199,BONE_15_M71_6_2,,
200,BONE_15_M71_6_3,,
201,BONE_15_M71_7_1,,
202,BONE_15_M71_7_2,,
203,BONE_15_M71_7_3,,
204,BONE_15_M71_8_1,,
205,BONE_15_M71_8_2,,
206,BONE_15_M71_8_3,,
207,BONE_16_F63_1_1,,
208,BONE_16_F63_1_2,,
209,BONE_16_F63_2_1,,
210,BONE_16_F63_2_2,,
211,BONE_16_F63_2_3,,
212,BONE_16_F63_3_1,,
213,BONE_16_F63_3_2,,
214,BONE_16_F63_3_3,,
215,BONE_16_F63_3_4,,
216,BONE_16_F63_4_1,,
217,BONE_16_F63_4_2,,
218,BONE_16_F63_5_1,,
219,BONE_16_F63_6_1,,
220,BONE_16_F63_6_2,,
221,BONE_16_F63_6_3,,
222,BONE_16_F63_7_1,,
223,BONE_16_F63_7_2,,
224,BONE_16_F63_7_3,,
225,BONE_17_F52_1_1,,
226,BONE_17_F52_1_2,,
227,BONE_17_F52_1_3,,
228,BONE_17_F52_2_1,,
229,BONE_17_F52_2_2,,
230,BONE_17_F52_2_3,,
231,BONE_17_F52_3_1,,
232,BONE_17_F52_3_2,,
233,BONE_17_F52_3_3,,
234,BONE_17_F52_4_1,,
235,BONE_17_F52_4_2,,
236,BONE_17_F52_4_3,,
237,BONE_17_F52_5_1,,
238,BONE_17_F52_5_2,,
239,BONE_17_F52_5_3,,
240,BONE_17_F52_6_1,,
241,BONE_17_F52_6_2,,
242,BONE_17_F52_6_3,,
243,BONE_17_F52_7_1,,
244,BONE_17_F52_7_2,,
245,BONE_17_F52_7_3,,
