,train,val,test
0,BONE_1_F51_1_1,BONE_15_M71_1_1,BONE_7_F65_1_1
1,BONE_1_F51_1_2,BONE_15_M71_1_2,BONE_7_F65_1_2
2,BONE_1_F51_2_1,BONE_15_M71_1_3,BONE_7_F65_1_3
3,BONE_1_F51_2_2,BONE_15_M71_2_1,BONE_7_F65_2_1
4,BONE_1_F51_2_3,BONE_15_M71_2_2,BONE_7_F65_2_2
5,BONE_1_F51_2_4,BONE_15_M71_2_3,BONE_7_F65_2_3
6,BONE_2_F71_1_1,BONE_15_M71_3_1,BONE_7_F65_3_1
7,BONE_2_F71_1_2,BONE_15_M71_3_2,BONE_7_F65_3_2
8,BONE_2_F71_1_3,BONE_15_M71_3_3,BONE_7_F65_3_3
9,BONE_2_F71_1_4,BONE_15_M71_4_1,BONE_7_F65_4_1
10,BONE_2_F71_1_5,BONE_15_M71_4_2,BONE_7_F65_4_2
11,BONE_2_F71_1_6,BONE_15_M71_4_3,BONE_7_F65_4_3
12,BONE_2_F71_1_7,BONE_15_M71_5_1,BONE_7_F65_5_1
13,BONE_2_F71_2_1,BONE_15_M71_5_2,BONE_7_F65_5_2
14,BONE_2_F71_2_2,BONE_15_M71_5_3,BONE_7_F65_5_3
15,BONE_2_F71_2_3,BONE_15_M71_6_1,BONE_7_F65_6_1
16,BONE_2_F71_2_4,BONE_15_M71_6_2,BONE_7_F65_6_2
17,BONE_2_F71_2_5,BONE_15_M71_6_3,BONE_7_F65_6_3
18,BONE_2_F71_2_6,BONE_15_M71_7_1,BONE_7_F65_7_1
19,BONE_2_F71_2_7,BONE_15_M71_7_2,BONE_7_F65_7_2
20,BONE_2_F71_3_1,BONE_15_M71_7_3,BONE_7_F65_7_3
21,BONE_2_F71_3_2,BONE_15_M71_8_1,BONE_7_F65_8_1
22,BONE_2_F71_3_3,BONE_15_M71_8_2,BONE_7_F65_8_2
23,BONE_2_F71_3_4,BONE_15_M71_8_3,BONE_7_F65_8_3
24,BONE_2_F71_3_5,BONE_17_F52_1_1,
25,BONE_2_F71_3_6,BONE_17_F52_1_2,
26,BONE_3_F56_1_1,BONE_17_F52_1_3,
27,BONE_3_F56_11_1,BONE_17_F52_2_1,
28,BONE_3_F56_11_2,BONE_17_F52_2_2,
29,BONE_3_F56_11_3,BONE_17_F52_2_3,
30,BONE_3_F56_1_2,BONE_17_F52_3_1,
31,BONE_3_F56_8_1,BONE_17_F52_3_2,
32,BONE_3_F56_8_2,BONE_17_F52_3_3,
33,BONE_3_F56_9_1,BONE_17_F52_4_1,
34,BONE_3_F56_9_2,BONE_17_F52_4_2,
35,BONE_4_M48_1_1,BONE_17_F52_4_3,
36,BONE_4_M48_1_2,BONE_17_F52_5_1,
37,BONE_4_M48_1_3,BONE_17_F52_5_2,
38,BONE_4_M48_2_1,BONE_17_F52_5_3,
39,BONE_4_M48_2_2,BONE_17_F52_6_1,
40,BONE_4_M48_2_3,BONE_17_F52_6_2,
41,BONE_4_M48_3_1,BONE_17_F52_6_3,
42,BONE_4_M48_3_2,BONE_17_F52_7_1,
43,BONE_4_M48_3_3,BONE_17_F52_7_2,
44,BONE_4_M48_4_1,BONE_17_F52_7_3,
45,BONE_4_M48_4_2,,
46,BONE_4_M48_4_3,,
47,BONE_4_M48_5_1,,
48,BONE_4_M48_5_2,,
49,BONE_4_M48_5_3,,
50,BONE_4_M48_6_1,,
51,BONE_4_M48_6_2,,
52,BONE_4_M48_6_3,,
53,BONE_4_M48_6_4,,
54,BONE_4_M48_6_5,,
55,BONE_4_M48_7_1,,
56,BONE_4_M48_7_2,,
57,BONE_4_M48_7_3,,
58,BONE_4_M48_8_1,,
59,BONE_4_M48_8_2,,
60,BONE_5_M59_1_1,,
61,BONE_5_M59_1_2,,
62,BONE_5_M59_1_3,,
63,BONE_5_M59_1_4,,
64,BONE_5_M59_2_1,,
65,BONE_5_M59_2_2,,
66,BONE_5_M59_2_3,,
67,BONE_5_M59_2_4,,
68,BONE_5_M59_2_5,,
69,BONE_5_M59_3_1,,
70,BONE_5_M59_3_2,,
71,BONE_5_M59_3_3,,
72,BONE_5_M59_3_4,,
73,BONE_5_M59_3_5,,
74,BONE_5_M59_3_6,,
75,BONE_5_M59_4_1,,
76,BONE_5_M59_4_2,,
77,BONE_5_M59_4_3,,
78,BONE_5_M59_5_1,,
79,BONE_5_M59_5_2,,
80,BONE_5_M59_5_3,,
81,BONE_5_M59_6_1,,
82,BONE_5_M59_6_2,,
83,BONE_5_M59_6_3,,
84,BONE_5_M59_6_4,,
85,BONE_5_M59_6_5,,
86,BONE_5_M59_6_6,,
87,BONE_6_M63_1_1,,
88,BONE_6_M63_1_2,,
89,BONE_6_M63_1_3,,
90,BONE_6_M63_2_1,,
91,BONE_6_M63_2_2,,
92,BONE_6_M63_2_3,,
93,BONE_6_M63_3_1,,
94,BONE_6_M63_3_2,,
95,BONE_6_M63_3_3,,
96,BONE_6_M63_4_1,,
