,train,val,test
0,BONE_1_F51_1_1,BONE_3_F56_1_1,BONE_11_M72_2_1
1,BONE_1_F51_1_2,BONE_3_F56_11_1,BONE_11_M72_2_2
2,BONE_1_F51_2_1,BONE_3_F56_11_2,BONE_11_M72_2_3
3,BONE_1_F51_2_2,BONE_3_F56_11_3,BONE_11_M72_3_1
4,BONE_1_F51_2_3,BONE_3_F56_1_2,BONE_11_M72_3_2
5,BONE_1_F51_2_4,BONE_3_F56_8_1,BONE_11_M72_3_3
6,BONE_2_F71_1_1,BONE_3_F56_8_2,BONE_11_M72_4_1
7,BONE_2_F71_1_2,BONE_3_F56_9_1,BONE_11_M72_4_2
8,BONE_2_F71_1_3,BONE_3_F56_9_2,BONE_11_M72_4_3
9,BONE_2_F71_1_4,BONE_6_M63_1_1,BONE_11_M72_5_1
10,BONE_2_F71_1_5,BONE_6_M63_1_2,BONE_11_M72_5_2
11,BONE_2_F71_1_6,BONE_6_M63_1_3,BONE_11_M72_5_3
12,BONE_2_F71_1_7,BONE_6_M63_2_1,BONE_11_M72_5_4
13,BONE_2_F71_2_1,BONE_6_M63_2_2,BONE_11_M72_6_1
14,BONE_2_F71_2_2,BONE_6_M63_2_3,BONE_11_M72_6_2
15,BONE_2_F71_2_3,BONE_6_M63_3_1,BONE_11_M72_6_3
16,BONE_2_F71_2_4,BONE_6_M63_3_2,BONE_11_M72_6_4
17,BONE_2_F71_2_5,BONE_6_M63_3_3,BONE_11_M72_6_5
18,BONE_2_F71_2_6,BONE_6_M63_4_1,BONE_11_M72_7_1
19,BONE_2_F71_2_7,BONE_6_M63_4_2,BONE_11_M72_7_2
20,BONE_2_F71_3_1,BONE_6_M63_4_3,BONE_11_M72_7_3
21,BONE_2_F71_3_2,BONE_6_M63_5_1,BONE_11_M72_8_1
22,BONE_2_F71_3_3,BONE_6_M63_5_2,BONE_11_M72_8_2
23,BONE_2_F71_3_4,BONE_6_M63_6_1,BONE_11_M72_8_3
24,BONE_2_F71_3_5,BONE_6_M63_6_2,
25,BONE_2_F71_3_6,BONE_6_M63_6_3,
26,BONE_4_M48_1_1,BONE_6_M63_7_1,
27,BONE_4_M48_1_2,BONE_6_M63_7_2,
28,BONE_4_M48_1_3,BONE_6_M63_7_3,
29,BONE_4_M48_2_1,BONE_6_M63_8_1,
30,BONE_4_M48_2_2,BONE_6_M63_8_2,
31,BONE_4_M48_2_3,BONE_6_M63_8_3,
32,BONE_4_M48_3_1,,
33,BONE_4_M48_3_2,,
34,BONE_4_M48_3_3,,
35,BONE_4_M48_4_1,,
36,BONE_4_M48_4_2,,
37,BONE_4_M48_4_3,,
38,BONE_4_M48_5_1,,
39,BONE_4_M48_5_2,,
40,BONE_4_M48_5_3,,
41,BONE_4_M48_6_1,,
42,BONE_4_M48_6_2,,
43,BONE_4_M48_6_3,,
44,BONE_4_M48_6_4,,
45,BONE_4_M48_6_5,,
46,BONE_4_M48_7_1,,
47,BONE_4_M48_7_2,,
48,BONE_4_M48_7_3,,
49,BONE_4_M48_8_1,,
50,BONE_4_M48_8_2,,
51,BONE_5_M59_1_1,,
52,BONE_5_M59_1_2,,
53,BONE_5_M59_1_3,,
54,BONE_5_M59_1_4,,
55,BONE_5_M59_2_1,,
56,BONE_5_M59_2_2,,
57,BONE_5_M59_2_3,,
58,BONE_5_M59_2_4,,
59,BONE_5_M59_2_5,,
60,BONE_5_M59_3_1,,
61,BONE_5_M59_3_2,,
62,BONE_5_M59_3_3,,
63,BONE_5_M59_3_4,,
64,BONE_5_M59_3_5,,
65,BONE_5_M59_3_6,,
66,BONE_5_M59_4_1,,
67,BONE_5_M59_4_2,,
68,BONE_5_M59_4_3,,
69,BONE_5_M59_5_1,,
70,BONE_5_M59_5_2,,
71,BONE_5_M59_5_3,,
72,BONE_5_M59_6_1,,
73,BONE_5_M59_6_2,,
74,BONE_5_M59_6_3,,
75,BONE_5_M59_6_4,,
76,BONE_5_M59_6_5,,
77,BONE_5_M59_6_6,,
78,BONE_7_F65_1_1,,
79,BONE_7_F65_1_2,,
80,BONE_7_F65_1_3,,
81,BONE_7_F65_2_1,,
82,BONE_7_F65_2_2,,
83,BONE_7_F65_2_3,,
84,BONE_7_F65_3_1,,
85,BONE_7_F65_3_2,,
86,BONE_7_F65_3_3,,
87,BONE_7_F65_4_1,,
88,BONE_7_F65_4_2,,
89,BONE_7_F65_4_3,,
90,BONE_7_F65_5_1,,
91,BONE_7_F65_5_2,,
92,BONE_7_F65_5_3,,
93,BONE_7_F65_6_1,,
94,BONE_7_F65_6_2,,
95,BONE_7_F65_6_3,,
96,BONE_7_F65_7_1,,
97,BONE_7_F65_7_2,,
98,BONE_7_F65_7_3,,
99,BONE_7_F65_8_1,,
100,BONE_7_F65_8_2,,
101,BONE_7_F65_8_3,,
102,BONE_8_F68_1_1,,
103,BONE_8_F68_1_2,,
104,BONE_8_F68_1_3,,
105,BONE_8_F68_2_1,,
106,BONE_8_F68_2_2,,
107,BONE_8_F68_2_3,,
108,BONE_8_F68_3_1,,
109,BONE_8_F68_3_2,,
110,BONE_8_F68_3_3,,
111,BONE_8_F68_4_1,,
112,BONE_8_F68_4_2,,
113,BONE_8_F68_4_3,,
114,BONE_8_F68_5_1,,
115,BONE_8_F68_5_2,,
116,BONE_8_F68_5_3,,
117,BONE_8_F68_6_1,,
118,BONE_8_F68_6_2,,
119,BONE_8_F68_6_3,,
120,BONE_8_F68_7_1,,
121,BONE_8_F68_7_2,,
122,BONE_8_F68_7_3,,
123,BONE_8_F68_8_1,,
124,BONE_8_F68_8_2,,
125,BONE_8_F68_8_3,,
126,BONE_9_M72_1_1,,
127,BONE_9_M72_1_2,,
128,BONE_9_M72_1_3,,
