,train,val,test
0,BONE_2_F71_1_1,BONE_1_F51_1_1,BONE_8_F68_1_1
1,BONE_2_F71_1_2,BONE_1_F51_1_2,BONE_8_F68_1_2
2,BONE_2_F71_1_3,BONE_1_F51_2_1,BONE_8_F68_1_3
3,BONE_2_F71_1_4,BONE_1_F51_2_2,BONE_8_F68_2_1
4,BONE_2_F71_1_5,BONE_1_F51_2_3,BONE_8_F68_2_2
5,BONE_2_F71_1_6,BONE_1_F51_2_4,BONE_8_F68_2_3
6,BONE_2_F71_1_7,BONE_4_M48_1_1,BONE_8_F68_3_1
7,BONE_2_F71_2_1,BONE_4_M48_1_2,BONE_8_F68_3_2
8,BONE_2_F71_2_2,BONE_4_M48_1_3,BONE_8_F68_3_3
9,BONE_2_F71_2_3,BONE_4_M48_2_1,BONE_8_F68_4_1
10,BONE_2_F71_2_4,BONE_4_M48_2_2,BONE_8_F68_4_2
11,BONE_2_F71_2_5,BONE_4_M48_2_3,BONE_8_F68_4_3
12,BONE_2_F71_2_6,BONE_4_M48_3_1,BONE_8_F68_5_1
13,BONE_2_F71_2_7,BONE_4_M48_3_2,BONE_8_F68_5_2
14,BONE_2_F71_3_1,BONE_4_M48_3_3,BONE_8_F68_5_3
15,BONE_2_F71_3_2,BONE_4_M48_4_1,BONE_8_F68_6_1
16,BONE_2_F71_3_3,BONE_4_M48_4_2,BONE_8_F68_6_2
17,BONE_2_F71_3_4,BONE_4_M48_4_3,BONE_8_F68_6_3
18,BONE_2_F71_3_5,BONE_4_M48_5_1,BONE_8_F68_7_1
19,BONE_2_F71_3_6,BONE_4_M48_5_2,BONE_8_F68_7_2
20,BONE_3_F56_1_1,BONE_4_M48_5_3,BONE_8_F68_7_3
21,BONE_3_F56_11_1,BONE_4_M48_6_1,BONE_8_F68_8_1
22,BONE_3_F56_11_2,BONE_4_M48_6_2,BONE_8_F68_8_2
23,BONE_3_F56_11_3,BONE_4_M48_6_3,BONE_8_F68_8_3
24,BONE_3_F56_1_2,BONE_4_M48_6_4,
25,BONE_3_F56_8_1,BONE_4_M48_6_5,
26,BONE_3_F56_8_2,BONE_4_M48_7_1,
27,BONE_3_F56_9_1,BONE_4_M48_7_2,
28,BONE_3_F56_9_2,BONE_4_M48_7_3,
29,BONE_5_M59_1_1,BONE_4_M48_8_1,
30,BONE_5_M59_1_2,BONE_4_M48_8_2,
31,BONE_5_M59_1_3,,
32,BONE_5_M59_1_4,,
33,BONE_5_M59_2_1,,
34,BONE_5_M59_2_2,,
35,BONE_5_M59_2_3,,
36,BONE_5_M59_2_4,,
37,BONE_5_M59_2_5,,
38,BONE_5_M59_3_1,,
39,BONE_5_M59_3_2,,
40,BONE_5_M59_3_3,,
41,BONE_5_M59_3_4,,
42,BONE_5_M59_3_5,,
43,BONE_5_M59_3_6,,
44,BONE_5_M59_4_1,,
45,BONE_5_M59_4_2,,
46,BONE_5_M59_4_3,,
47,BONE_5_M59_5_1,,
48,BONE_5_M59_5_2,,
49,BONE_5_M59_5_3,,
50,BONE_5_M59_6_1,,
51,BONE_5_M59_6_2,,
52,BONE_5_M59_6_3,,
53,BONE_5_M59_6_4,,
54,BONE_5_M59_6_5,,
55,BONE_5_M59_6_6,,
56,BONE_6_M63_1_1,,
57,BONE_6_M63_1_2,,
58,BONE_6_M63_1_3,,
59,BONE_6_M63_2_1,,
60,BONE_6_M63_2_2,,
61,BONE_6_M63_2_3,,
62,BONE_6_M63_3_1,,
63,BONE_6_M63_3_2,,
64,BONE_6_M63_3_3,,
65,BONE_6_M63_4_1,,
66,BONE_6_M63_4_2,,
67,BONE_6_M63_4_3,,
68,BONE_6_M63_5_1,,
69,BONE_6_M63_5_2,,
70,BONE_6_M63_6_1,,
71,BONE_6_M63_6_2,,
72,BONE_6_M63_6_3,,
