,train,val,test
0,BONE_1_F51_1_1,BONE_8_F68_1_1,BONE_4_M48_1_1
1,BONE_1_F51_1_2,BONE_8_F68_1_2,BONE_4_M48_1_2
2,BONE_1_F51_2_1,BONE_8_F68_1_3,BONE_4_M48_1_3
3,BONE_1_F51_2_2,BONE_8_F68_2_1,BONE_4_M48_2_1
4,BONE_1_F51_2_3,BONE_8_F68_2_2,BONE_4_M48_2_2
5,BONE_1_F51_2_4,BONE_8_F68_2_3,BONE_4_M48_2_3
6,BONE_2_F71_1_1,BONE_8_F68_3_1,BONE_4_M48_3_1
7,BONE_2_F71_1_2,BONE_8_F68_3_2,BONE_4_M48_3_2
8,BONE_2_F71_1_3,BONE_8_F68_3_3,BONE_4_M48_3_3
9,BONE_2_F71_1_4,BONE_8_F68_4_1,BONE_4_M48_4_1
10,BONE_2_F71_1_5,BONE_8_F68_4_2,BONE_4_M48_4_2
11,BONE_2_F71_1_6,BONE_8_F68_4_3,BONE_4_M48_4_3
12,BONE_2_F71_1_7,BONE_8_F68_5_1,BONE_4_M48_5_1
13,BONE_2_F71_2_1,BONE_8_F68_5_2,BONE_4_M48_5_2
14,BONE_2_F71_2_2,BONE_8_F68_5_3,BONE_4_M48_5_3
15,BONE_2_F71_2_3,BONE_8_F68_6_1,BONE_4_M48_6_1
16,BONE_2_F71_2_4,BONE_8_F68_6_2,BONE_4_M48_6_2
17,BONE_2_F71_2_5,BONE_8_F68_6_3,BONE_4_M48_6_3
18,BONE_2_F71_2_6,BONE_8_F68_7_1,BONE_4_M48_6_4
19,BONE_2_F71_2_7,BONE_8_F68_7_2,BONE_4_M48_6_5
20,BONE_2_F71_3_1,BONE_8_F68_7_3,BONE_4_M48_7_1
21,BONE_2_F71_3_2,BONE_8_F68_8_1,BONE_4_M48_7_2
22,BONE_2_F71_3_3,BONE_8_F68_8_2,BONE_4_M48_7_3
23,BONE_2_F71_3_4,BONE_8_F68_8_3,BONE_4_M48_8_1
24,BONE_2_F71_3_5,BONE_9_M72_1_1,BONE_4_M48_8_2
25,BONE_2_F71_3_6,BONE_9_M72_1_2,
26,BONE_3_F56_1_1,BONE_9_M72_1_3,
27,BONE_3_F56_11_1,BONE_9_M72_1_4,
28,BONE_3_F56_11_2,BONE_9_M72_2_1,
29,BONE_3_F56_11_3,BONE_9_M72_2_2,
30,BONE_3_F56_1_2,BONE_9_M72_2_3,
31,BONE_3_F56_8_1,BONE_9_M72_2_4,
32,BONE_3_F56_8_2,BONE_9_M72_4_1,
33,BONE_3_F56_9_1,BONE_9_M72_4_2,
34,BONE_3_F56_9_2,BONE_9_M72_5_1,
35,BONE_5_M59_1_1,BONE_9_M72_5_2,
36,BONE_5_M59_1_2,BONE_9_M72_5_3,
37,BONE_5_M59_1_3,BONE_9_M72_5_4,
38,BONE_5_M59_1_4,BONE_9_M72_6_1,
39,BONE_5_M59_2_1,BONE_9_M72_6_2,
40,BONE_5_M59_2_2,BONE_9_M72_7_1,
41,BONE_5_M59_2_3,BONE_9_M72_7_2,
42,BONE_5_M59_2_4,BONE_9_M72_7_3,
43,BONE_5_M59_2_5,,
44,BONE_5_M59_3_1,,
45,BONE_5_M59_3_2,,
46,BONE_5_M59_3_3,,
47,BONE_5_M59_3_4,,
48,BONE_5_M59_3_5,,
49,BONE_5_M59_3_6,,
50,BONE_5_M59_4_1,,
51,BONE_5_M59_4_2,,
52,BONE_5_M59_4_3,,
53,BONE_5_M59_5_1,,
54,BONE_5_M59_5_2,,
55,BONE_5_M59_5_3,,
56,BONE_5_M59_6_1,,
57,BONE_5_M59_6_2,,
58,BONE_5_M59_6_3,,
59,BONE_5_M59_6_4,,
60,BONE_5_M59_6_5,,
61,BONE_5_M59_6_6,,
62,BONE_6_M63_1_1,,
63,BONE_6_M63_1_2,,
64,BONE_6_M63_1_3,,
65,BONE_6_M63_2_1,,
66,BONE_6_M63_2_2,,
67,BONE_6_M63_2_3,,
68,BONE_6_M63_3_1,,
69,BONE_6_M63_3_2,,
70,BONE_6_M63_3_3,,
71,BONE_6_M63_4_1,,
72,BONE_6_M63_4_2,,
73,BONE_6_M63_4_3,,
74,BONE_6_M63_5_1,,
75,BONE_6_M63_5_2,,
76,BONE_6_M63_6_1,,
77,BONE_6_M63_6_2,,
78,BONE_6_M63_6_3,,
79,BONE_6_M63_7_1,,
80,BONE_6_M63_7_2,,
81,BONE_6_M63_7_3,,
82,BONE_6_M63_8_1,,
83,BONE_6_M63_8_2,,
84,BONE_6_M63_8_3,,
85,BONE_7_F65_1_1,,
86,BONE_7_F65_1_2,,
87,BONE_7_F65_1_3,,
88,BONE_7_F65_2_1,,
89,BONE_7_F65_2_2,,
90,BONE_7_F65_2_3,,
91,BONE_7_F65_3_1,,
92,BONE_7_F65_3_2,,
93,BONE_7_F65_3_3,,
94,BONE_7_F65_4_1,,
95,BONE_7_F65_4_2,,
96,BONE_7_F65_4_3,,
97,BONE_7_F65_5_1,,
98,BONE_7_F65_5_2,,
99,BONE_7_F65_5_3,,
100,BONE_7_F65_6_1,,
101,BONE_7_F65_6_2,,
102,BONE_7_F65_6_3,,
103,BONE_7_F65_7_1,,
104,BONE_7_F65_7_2,,
105,BONE_7_F65_7_3,,
106,BONE_7_F65_8_1,,
107,BONE_7_F65_8_2,,
108,BONE_7_F65_8_3,,
109,BONE_11_M72_2_1,,
110,BONE_11_M72_2_2,,
111,BONE_11_M72_2_3,,
112,BONE_11_M72_3_1,,
113,BONE_11_M72_3_2,,
114,BONE_11_M72_3_3,,
115,BONE_11_M72_4_1,,
116,BONE_11_M72_4_2,,
117,BONE_11_M72_4_3,,
118,BONE_11_M72_5_1,,
119,BONE_11_M72_5_2,,
120,BONE_11_M72_5_3,,
121,BONE_11_M72_5_4,,
122,BONE_11_M72_6_1,,
123,BONE_11_M72_6_2,,
124,BONE_11_M72_6_3,,
125,BONE_11_M72_6_4,,
126,BONE_11_M72_6_5,,
127,BONE_11_M72_7_1,,
128,BONE_11_M72_7_2,,
129,BONE_11_M72_7_3,,
130,BONE_11_M72_8_1,,
131,BONE_11_M72_8_2,,
132,BONE_11_M72_8_3,,
133,BONE_12_F69_1_1,,
134,BONE_12_F69_1_2,,
135,BONE_12_F69_1_3,,
136,BONE_12_F69_2_1,,
137,BONE_12_F69_2_2,,
138,BONE_12_F69_2_3,,
139,BONE_12_F69_3_1,,
140,BONE_12_F69_3_2,,
141,BONE_12_F69_3_3,,
142,BONE_12_F69_4_1,,
143,BONE_12_F69_4_2,,
144,BONE_12_F69_4_3,,
145,BONE_12_F69_5_1,,
146,BONE_12_F69_5_2,,
147,BONE_12_F69_5_3,,
148,BONE_12_F69_6_1,,
149,BONE_12_F69_6_2,,
150,BONE_12_F69_6_3,,
151,BONE_12_F69_7_1,,
152,BONE_12_F69_7_2,,
153,BONE_12_F69_7_3,,
154,BONE_12_F69_8_1,,
155,BONE_12_F69_8_2,,
156,BONE_12_F69_8_3,,
157,BONE_13_M47_1_1,,
158,BONE_13_M47_1_2,,
159,BONE_13_M47_1_3,,
160,BONE_13_M47_2_1,,
161,BONE_13_M47_2_2,,
162,BONE_13_M47_2_3,,
163,BONE_13_M47_3_1,,
164,BONE_13_M47_3_2,,
165,BONE_13_M47_3_3,,
166,BONE_13_M47_4_1,,
167,BONE_13_M47_4_2,,
168,BONE_13_M47_4_3,,
169,BONE_13_M47_5_1,,
170,BONE_13_M47_5_2,,
171,BONE_13_M47_5_3,,
172,BONE_13_M47_6_1,,
173,BONE_13_M47_6_2,,
174,BONE_13_M47_6_3,,
175,BONE_13_M47_7_1,,
176,BONE_13_M47_7_2,,
177,BONE_13_M47_7_3,,
178,BONE_13_M47_8_1,,
179,BONE_13_M47_8_2,,
180,BONE_13_M47_8_3,,
181,BONE_15_M71_1_1,,
182,BONE_15_M71_1_2,,
183,BONE_15_M71_1_3,,
184,BONE_15_M71_2_1,,
185,BONE_15_M71_2_2,,
186,BONE_15_M71_2_3,,
187,BONE_15_M71_3_1,,
188,BONE_15_M71_3_2,,
189,BONE_15_M71_3_3,,
190,BONE_15_M71_4_1,,
191,BONE_15_M71_4_2,,
192,BONE_15_M71_4_3,,
193,BONE_15_M71_5_1,,
194,BONE_15_M71_5_2,,
195,BONE_15_M71_5_3,,
196,BONE_15_M71_6_1,,
197,BONE_15_M71_6_2,,
198,BONE_15_M71_6_3,,
199,BONE_15_M71_7_1,,
200,BONE_15_M71_7_2,,
201,BONE_15_M71_7_3,,
202,BONE_15_M71_8_1,,
203,BONE_15_M71_8_2,,
204,BONE_15_M71_8_3,,
205,BONE_16_F63_1_1,,
206,BONE_16_F63_1_2,,
207,BONE_16_F63_2_1,,
208,BONE_16_F63_2_2,,
209,BONE_16_F63_2_3,,
210,BONE_16_F63_3_1,,
211,BONE_16_F63_3_2,,
212,BONE_16_F63_3_3,,
213,BONE_16_F63_3_4,,
214,BONE_16_F63_4_1,,
215,BONE_16_F63_4_2,,
216,BONE_16_F63_5_1,,
217,BONE_16_F63_6_1,,
218,BONE_16_F63_6_2,,
219,BONE_16_F63_6_3,,
220,BONE_16_F63_7_1,,
221,BONE_16_F63_7_2,,
222,BONE_16_F63_7_3,,
