,train,val,test
0,BONE_11_M72_2_1,BONE_6_M63_1_1,BONE_15_M71_1_1
1,BONE_11_M72_2_2,BONE_6_M63_1_2,BONE_15_M71_1_2
2,BONE_11_M72_2_3,BONE_6_M63_1_3,BONE_15_M71_1_3
3,BONE_11_M72_3_1,BONE_6_M63_2_1,BONE_15_M71_2_1
4,BONE_11_M72_3_2,BONE_6_M63_2_2,BONE_15_M71_2_2
5,BONE_11_M72_3_3,BONE_6_M63_2_3,BONE_15_M71_2_3
6,BONE_11_M72_4_1,BONE_6_M63_3_1,BONE_15_M71_3_1
7,BONE_11_M72_4_2,BONE_6_M63_3_2,BONE_15_M71_3_2
8,BONE_11_M72_4_3,BONE_6_M63_3_3,BONE_15_M71_3_3
9,BONE_11_M72_5_1,BONE_6_M63_4_1,BONE_15_M71_4_1
10,BONE_11_M72_5_2,BONE_6_M63_4_2,BONE_15_M71_4_2
11,BONE_11_M72_5_3,BONE_6_M63_4_3,BONE_15_M71_4_3
12,BONE_11_M72_5_4,BONE_6_M63_5_1,BONE_15_M71_5_1
13,BONE_11_M72_6_1,BONE_6_M63_5_2,BONE_15_M71_5_2
14,BONE_11_M72_6_2,BONE_6_M63_6_1,BONE_15_M71_5_3
15,BONE_11_M72_6_3,BONE_6_M63_6_2,BONE_15_M71_6_1
16,BONE_11_M72_6_4,BONE_6_M63_6_3,BONE_15_M71_6_2
17,BONE_11_M72_6_5,BONE_6_M63_7_1,BONE_15_M71_6_3
18,BONE_11_M72_7_1,BONE_6_M63_7_2,BONE_15_M71_7_1
19,BONE_11_M72_7_2,BONE_6_M63_7_3,BONE_15_M71_7_2
20,BONE_11_M72_7_3,BONE_6_M63_8_1,BONE_15_M71_7_3
21,BONE_11_M72_8_1,BONE_6_M63_8_2,BONE_15_M71_8_1
22,BONE_11_M72_8_2,BONE_6_M63_8_3,BONE_15_M71_8_2
23,BONE_11_M72_8_3,BONE_8_F68_1_1,BONE_15_M71_8_3
24,BONE_12_F69_1_1,BONE_8_F68_1_2,BONE_17_F52_1_1
25,BONE_12_F69_1_2,BONE_8_F68_1_3,BONE_17_F52_1_2
26,BONE_12_F69_1_3,BONE_8_F68_2_1,BONE_17_F52_1_3
27,BONE_12_F69_2_1,BONE_8_F68_2_2,BONE_17_F52_2_1
28,BONE_12_F69_2_2,BONE_8_F68_2_3,BONE_17_F52_2_2
29,BONE_12_F69_2_3,BONE_8_F68_3_1,BONE_17_F52_2_3
30,BONE_12_F69_3_1,BONE_8_F68_3_2,BONE_17_F52_3_1
31,BONE_12_F69_3_2,BONE_8_F68_3_3,BONE_17_F52_3_2
32,BONE_12_F69_3_3,BONE_8_F68_4_1,BONE_17_F52_3_3
33,BONE_12_F69_4_1,BONE_8_F68_4_2,BONE_17_F52_4_1
34,BONE_12_F69_4_2,BONE_8_F68_4_3,BONE_17_F52_4_2
35,BONE_12_F69_4_3,BONE_8_F68_5_1,BONE_17_F52_4_3
36,BONE_12_F69_5_1,BONE_8_F68_5_2,BONE_17_F52_5_1
37,BONE_12_F69_5_2,BONE_8_F68_5_3,BONE_17_F52_5_2
38,BONE_12_F69_5_3,BONE_8_F68_6_1,BONE_17_F52_5_3
39,BONE_12_F69_6_1,BONE_8_F68_6_2,BONE_17_F52_6_1
40,BONE_12_F69_6_2,BONE_8_F68_6_3,BONE_17_F52_6_2
41,BONE_12_F69_6_3,BONE_8_F68_7_1,BONE_17_F52_6_3
42,BONE_12_F69_7_1,BONE_8_F68_7_2,BONE_17_F52_7_1
43,BONE_12_F69_7_2,BONE_8_F68_7_3,BONE_17_F52_7_2
44,BONE_12_F69_7_3,BONE_8_F68_8_1,BONE_17_F52_7_3
45,BONE_12_F69_8_1,BONE_8_F68_8_2,BONE_4_M48_1_1
46,BONE_12_F69_8_2,BONE_8_F68_8_3,BONE_4_M48_1_2
47,BONE_12_F69_8_3,,BONE_4_M48_1_3
48,BONE_13_M47_1_1,,BONE_4_M48_2_1
49,BONE_13_M47_1_2,,BONE_4_M48_2_2
50,BONE_13_M47_1_3,,BONE_4_M48_2_3
51,BONE_13_M47_2_1,,BONE_4_M48_3_1
52,BONE_13_M47_2_2,,BONE_4_M48_3_2
53,BONE_13_M47_2_3,,BONE_4_M48_3_3
54,BONE_13_M47_3_1,,BONE_4_M48_4_1
55,BONE_13_M47_3_2,,BONE_4_M48_4_2
56,BONE_13_M47_3_3,,BONE_4_M48_4_3
57,BONE_13_M47_4_1,,BONE_4_M48_5_1
58,BONE_13_M47_4_2,,BONE_4_M48_5_2
59,BONE_13_M47_4_3,,BONE_4_M48_5_3
60,BONE_13_M47_5_1,,BONE_4_M48_6_1
61,BONE_13_M47_5_2,,BONE_4_M48_6_2
62,BONE_13_M47_5_3,,BONE_4_M48_6_3
63,BONE_13_M47_6_1,,BONE_4_M48_6_4
64,BONE_13_M47_6_2,,BONE_4_M48_6_5
65,BONE_13_M47_6_3,,BONE_4_M48_7_1
66,BONE_13_M47_7_1,,BONE_4_M48_7_2
67,BONE_13_M47_7_2,,BONE_4_M48_7_3
68,BONE_13_M47_7_3,,BONE_4_M48_8_1
69,BONE_13_M47_8_1,,BONE_4_M48_8_2
70,BONE_13_M47_8_2,,
71,BONE_13_M47_8_3,,
72,BONE_16_F63_1_1,,
73,BONE_16_F63_1_2,,
74,BONE_16_F63_2_1,,
75,BONE_16_F63_2_2,,
76,BONE_16_F63_2_3,,
77,BONE_16_F63_3_1,,
78,BONE_16_F63_3_2,,
79,BONE_16_F63_3_3,,
80,BONE_16_F63_3_4,,
81,BONE_16_F63_4_1,,
82,BONE_16_F63_4_2,,
83,BONE_16_F63_5_1,,
84,BONE_16_F63_6_1,,
85,BONE_16_F63_6_2,,
86,BONE_16_F63_6_3,,
87,BONE_16_F63_7_1,,
88,BONE_16_F63_7_2,,
89,BONE_16_F63_7_3,,
90,BONE_1_F51_1_1,,
91,BONE_1_F51_1_2,,
92,BONE_1_F51_2_1,,
93,BONE_1_F51_2_2,,
94,BONE_1_F51_2_3,,
95,BONE_1_F51_2_4,,
96,BONE_2_F71_1_1,,
97,BONE_2_F71_1_2,,
98,BONE_2_F71_1_3,,
99,BONE_2_F71_1_4,,
100,BONE_2_F71_1_5,,
101,BONE_2_F71_1_6,,
102,BONE_2_F71_1_7,,
103,BONE_2_F71_2_1,,
104,BONE_2_F71_2_2,,
105,BONE_2_F71_2_3,,
106,BONE_2_F71_2_4,,
107,BONE_2_F71_2_5,,
108,BONE_2_F71_2_6,,
109,BONE_2_F71_2_7,,
110,BONE_2_F71_3_1,,
111,BONE_2_F71_3_2,,
