,train,val,test
0,BONE_12_F69_1_1,BONE_13_M47_1_1,BONE_11_M72_2_1
1,BONE_12_F69_1_2,BONE_13_M47_1_2,BONE_11_M72_2_2
2,BONE_12_F69_1_3,BONE_13_M47_1_3,BONE_11_M72_2_3
3,BONE_12_F69_2_1,BONE_13_M47_2_1,BONE_11_M72_3_1
4,BONE_12_F69_2_2,BONE_13_M47_2_2,BONE_11_M72_3_2
5,BONE_12_F69_2_3,BONE_13_M47_2_3,BONE_11_M72_3_3
6,BONE_12_F69_3_1,BONE_13_M47_3_1,BONE_11_M72_4_1
7,BONE_12_F69_3_2,BONE_13_M47_3_2,BONE_11_M72_4_2
8,BONE_12_F69_3_3,BONE_13_M47_3_3,BONE_11_M72_4_3
9,BONE_12_F69_4_1,BONE_13_M47_4_1,BONE_11_M72_5_1
10,BONE_12_F69_4_2,BONE_13_M47_4_2,BONE_11_M72_5_2
11,BONE_12_F69_4_3,BONE_13_M47_4_3,BONE_11_M72_5_3
12,BONE_12_F69_5_1,BONE_13_M47_5_1,BONE_11_M72_5_4
13,BONE_12_F69_5_2,BONE_13_M47_5_2,BONE_11_M72_6_1
14,BONE_12_F69_5_3,BONE_13_M47_5_3,BONE_11_M72_6_2
15,BONE_12_F69_6_1,BONE_13_M47_6_1,BONE_11_M72_6_3
16,BONE_12_F69_6_2,BONE_13_M47_6_2,BONE_11_M72_6_4
17,BONE_12_F69_6_3,BONE_13_M47_6_3,BONE_11_M72_6_5
18,BONE_12_F69_7_1,BONE_13_M47_7_1,BONE_11_M72_7_1
19,BONE_12_F69_7_2,BONE_13_M47_7_2,BONE_11_M72_7_2
20,BONE_12_F69_7_3,BONE_13_M47_7_3,BONE_11_M72_7_3
21,BONE_12_F69_8_1,BONE_13_M47_8_1,BONE_11_M72_8_1
22,BONE_12_F69_8_2,BONE_13_M47_8_2,BONE_11_M72_8_2
23,BONE_12_F69_8_3,BONE_13_M47_8_3,BONE_11_M72_8_3
24,BONE_15_M71_1_1,BONE_2_F71_1_1,BONE_7_F65_1_1
25,BONE_15_M71_1_2,BONE_2_F71_1_2,BONE_7_F65_1_2
26,BONE_15_M71_1_3,BONE_2_F71_1_3,BONE_7_F65_1_3
27,BONE_15_M71_2_1,BONE_2_F71_1_4,BONE_7_F65_2_1
28,BONE_15_M71_2_2,BONE_2_F71_1_5,BONE_7_F65_2_2
29,BONE_15_M71_2_3,BONE_2_F71_1_6,BONE_7_F65_2_3
30,BONE_15_M71_3_1,BONE_2_F71_1_7,BONE_7_F65_3_1
31,BONE_15_M71_3_2,BONE_2_F71_2_1,BONE_7_F65_3_2
32,BONE_15_M71_3_3,BONE_2_F71_2_2,BONE_7_F65_3_3
33,BONE_15_M71_4_1,BONE_2_F71_2_3,BONE_7_F65_4_1
34,BONE_15_M71_4_2,BONE_2_F71_2_4,BONE_7_F65_4_2
35,BONE_15_M71_4_3,BONE_2_F71_2_5,BONE_7_F65_4_3
36,BONE_15_M71_5_1,BONE_2_F71_2_6,BONE_7_F65_5_1
37,BONE_15_M71_5_2,BONE_2_F71_2_7,BONE_7_F65_5_2
38,BONE_15_M71_5_3,BONE_2_F71_3_1,BONE_7_F65_5_3
39,BONE_15_M71_6_1,BONE_2_F71_3_2,BONE_7_F65_6_1
40,BONE_15_M71_6_2,BONE_2_F71_3_3,BONE_7_F65_6_2
41,BONE_15_M71_6_3,BONE_2_F71_3_4,BONE_7_F65_6_3
42,BONE_15_M71_7_1,BONE_2_F71_3_5,BONE_7_F65_7_1
43,BONE_15_M71_7_2,BONE_2_F71_3_6,BONE_7_F65_7_2
44,BONE_15_M71_7_3,,BONE_7_F65_7_3
45,BONE_15_M71_8_1,,BONE_7_F65_8_1
46,BONE_15_M71_8_2,,BONE_7_F65_8_2
47,BONE_15_M71_8_3,,BONE_7_F65_8_3
48,BONE_16_F63_1_1,,BONE_9_M72_1_1
49,BONE_16_F63_1_2,,BONE_9_M72_1_2
50,BONE_16_F63_2_1,,BONE_9_M72_1_3
51,BONE_16_F63_2_2,,BONE_9_M72_1_4
52,BONE_16_F63_2_3,,BONE_9_M72_2_1
53,BONE_16_F63_3_1,,BONE_9_M72_2_2
54,BONE_16_F63_3_2,,BONE_9_M72_2_3
55,BONE_16_F63_3_3,,BONE_9_M72_2_4
56,BONE_16_F63_3_4,,BONE_9_M72_4_1
57,BONE_16_F63_4_1,,BONE_9_M72_4_2
58,BONE_16_F63_4_2,,BONE_9_M72_5_1
59,BONE_16_F63_5_1,,BONE_9_M72_5_2
60,BONE_16_F63_6_1,,BONE_9_M72_5_3
61,BONE_16_F63_6_2,,BONE_9_M72_5_4
62,BONE_16_F63_6_3,,BONE_9_M72_6_1
63,BONE_16_F63_7_1,,BONE_9_M72_6_2
64,BONE_16_F63_7_2,,BONE_9_M72_7_1
65,BONE_16_F63_7_3,,BONE_9_M72_7_2
66,BONE_17_F52_1_1,,BONE_9_M72_7_3
67,BONE_17_F52_1_2,,
68,BONE_17_F52_1_3,,
69,BONE_17_F52_2_1,,
70,BONE_17_F52_2_2,,
71,BONE_17_F52_2_3,,
72,BONE_17_F52_3_1,,
73,BONE_17_F52_3_2,,
74,BONE_17_F52_3_3,,
75,BONE_17_F52_4_1,,
76,BONE_17_F52_4_2,,
77,BONE_17_F52_4_3,,
78,BONE_17_F52_5_1,,
79,BONE_17_F52_5_2,,
80,BONE_17_F52_5_3,,
81,BONE_17_F52_6_1,,
82,BONE_17_F52_6_2,,
83,BONE_17_F52_6_3,,
84,BONE_17_F52_7_1,,
85,BONE_17_F52_7_2,,
86,BONE_17_F52_7_3,,
87,BONE_1_F51_1_1,,
88,BONE_1_F51_1_2,,
89,BONE_1_F51_2_1,,
90,BONE_1_F51_2_2,,
91,BONE_1_F51_2_3,,
92,BONE_1_F51_2_4,,
93,BONE_3_F56_11_1,,
94,BONE_3_F56_11_2,,
95,BONE_3_F56_11_3,,
96,BONE_3_F56_1_1,,
97,BONE_3_F56_1_2,,
98,BONE_3_F56_8_1,,
99,BONE_3_F56_8_2,,
100,BONE_3_F56_9_1,,
101,BONE_3_F56_9_2,,
102,BONE_4_M48_1_1,,
103,BONE_4_M48_1_2,,
104,BONE_4_M48_1_3,,
105,BONE_4_M48_2_1,,
106,BONE_4_M48_2_2,,
107,BONE_4_M48_2_3,,
108,BONE_4_M48_3_1,,
109,BONE_4_M48_3_2,,
110,BONE_4_M48_3_3,,
111,BONE_4_M48_4_1,,
112,BONE_4_M48_4_2,,
113,BONE_4_M48_4_3,,
114,BONE_4_M48_5_1,,
115,BONE_4_M48_5_2,,
116,BONE_4_M48_5_3,,
117,BONE_4_M48_6_1,,
118,BONE_4_M48_6_2,,
119,BONE_4_M48_6_3,,
120,BONE_4_M48_6_4,,
121,BONE_4_M48_6_5,,
122,BONE_4_M48_7_1,,
123,BONE_4_M48_7_2,,
124,BONE_4_M48_7_3,,
125,BONE_4_M48_8_1,,
126,BONE_4_M48_8_2,,
127,BONE_5_M59_1_1,,
128,BONE_5_M59_1_2,,
129,BONE_5_M59_1_3,,
130,BONE_5_M59_1_4,,
131,BONE_5_M59_2_1,,
132,BONE_5_M59_2_2,,
133,BONE_5_M59_2_3,,
134,BONE_5_M59_2_4,,
135,BONE_5_M59_2_5,,
136,BONE_5_M59_3_1,,
137,BONE_5_M59_3_2,,
138,BONE_5_M59_3_3,,
139,BONE_5_M59_3_4,,
140,BONE_5_M59_3_5,,
141,BONE_5_M59_3_6,,
142,BONE_5_M59_4_1,,
143,BONE_5_M59_4_2,,
144,BONE_5_M59_4_3,,
145,BONE_5_M59_5_1,,
146,BONE_5_M59_5_2,,
147,BONE_5_M59_5_3,,
148,BONE_5_M59_6_1,,
149,BONE_5_M59_6_2,,
150,BONE_5_M59_6_3,,
151,BONE_5_M59_6_4,,
152,BONE_5_M59_6_5,,
153,BONE_5_M59_6_6,,
154,BONE_6_M63_1_1,,
155,BONE_6_M63_1_2,,
156,BONE_6_M63_1_3,,
157,BONE_6_M63_2_1,,
158,BONE_6_M63_2_2,,
159,BONE_6_M63_2_3,,
160,BONE_6_M63_3_1,,
161,BONE_6_M63_3_2,,
162,BONE_6_M63_3_3,,
163,BONE_6_M63_4_1,,
164,BONE_6_M63_4_2,,
165,BONE_6_M63_4_3,,
166,BONE_6_M63_5_1,,
167,BONE_6_M63_5_2,,
168,BONE_6_M63_6_1,,
169,BONE_6_M63_6_2,,
170,BONE_6_M63_6_3,,
171,BONE_6_M63_7_1,,
172,BONE_6_M63_7_2,,
173,BONE_6_M63_7_3,,
174,BONE_6_M63_8_1,,
175,BONE_6_M63_8_2,,
176,BONE_6_M63_8_3,,
177,BONE_8_F68_1_1,,
178,BONE_8_F68_1_2,,
179,BONE_8_F68_1_3,,
180,BONE_8_F68_2_1,,
181,BONE_8_F68_2_2,,
182,BONE_8_F68_2_3,,
183,BONE_8_F68_3_1,,
184,BONE_8_F68_3_2,,
185,BONE_8_F68_3_3,,
186,BONE_8_F68_4_1,,
187,BONE_8_F68_4_2,,
188,BONE_8_F68_4_3,,
189,BONE_8_F68_5_1,,
190,BONE_8_F68_5_2,,
191,BONE_8_F68_5_3,,
192,BONE_8_F68_6_1,,
193,BONE_8_F68_6_2,,
194,BONE_8_F68_6_3,,
195,BONE_8_F68_7_1,,
196,BONE_8_F68_7_2,,
197,BONE_8_F68_7_3,,
198,BONE_8_F68_8_1,,
199,BONE_8_F68_8_2,,
200,BONE_8_F68_8_3,,
