,train,val,test
0,BONE_11_M72_2_1,BONE_5_M59_1_1,BONE_13_M47_1_1
1,BONE_11_M72_2_2,BONE_5_M59_1_2,BONE_13_M47_1_2
2,BONE_11_M72_2_3,BONE_5_M59_1_3,BONE_13_M47_1_3
3,BONE_11_M72_3_1,BONE_5_M59_1_4,BONE_13_M47_2_1
4,BONE_11_M72_3_2,BONE_5_M59_2_1,BONE_13_M47_2_2
5,BONE_11_M72_3_3,BONE_5_M59_2_2,BONE_13_M47_2_3
6,BONE_11_M72_4_1,BONE_5_M59_2_3,BONE_13_M47_3_1
7,BONE_11_M72_4_2,BONE_5_M59_2_4,BONE_13_M47_3_2
8,BONE_11_M72_4_3,BONE_5_M59_2_5,BONE_13_M47_3_3
9,BONE_11_M72_5_1,BONE_5_M59_3_1,BONE_13_M47_4_1
10,BONE_11_M72_5_2,BONE_5_M59_3_2,BONE_13_M47_4_2
11,BONE_11_M72_5_3,BONE_5_M59_3_3,BONE_13_M47_4_3
12,BONE_11_M72_5_4,BONE_5_M59_3_4,BONE_13_M47_5_1
13,BONE_11_M72_6_1,BONE_5_M59_3_5,BONE_13_M47_5_2
14,BONE_11_M72_6_2,BONE_5_M59_3_6,BONE_13_M47_5_3
15,BONE_11_M72_6_3,BONE_5_M59_4_1,BONE_13_M47_6_1
16,BONE_11_M72_6_4,BONE_5_M59_4_2,BONE_13_M47_6_2
17,BONE_11_M72_6_5,BONE_5_M59_4_3,BONE_13_M47_6_3
18,BONE_11_M72_7_1,BONE_5_M59_5_1,BONE_13_M47_7_1
19,BONE_11_M72_7_2,BONE_5_M59_5_2,BONE_13_M47_7_2
20,BONE_11_M72_7_3,BONE_5_M59_5_3,BONE_13_M47_7_3
21,BONE_11_M72_8_1,BONE_5_M59_6_1,BONE_13_M47_8_1
22,BONE_11_M72_8_2,BONE_5_M59_6_2,BONE_13_M47_8_2
23,BONE_11_M72_8_3,BONE_5_M59_6_3,BONE_13_M47_8_3
24,BONE_12_F69_1_1,BONE_5_M59_6_4,BONE_16_F63_1_1
25,BONE_12_F69_1_2,BONE_5_M59_6_5,BONE_16_F63_1_2
